coc_num,total_population,total_homeless,homeless_rate,fnd_per_person,pop_AIAN,pop_asian,pop_black,pop_multi,pop_NHPI,pop_white,pop_under_18,pop_18_to_24,pop_25_to_34,pop_35_to_44,pop_45_to_54,pop_55_to_64,pop_over_64,pop_female,pop_male,pop_hisp_latx,pop_non_hisp_latx,disadvantaged_county,persistent_poverty_county,percent_rural,percent_urban,percent_poc,poverty_rate,pop_density,med_hh_income,employment_access_index,housing_cost_burden,overcrowded_housing,vacancy_rate,housing_units,airports_primary,highway_miles,funding_tot,fnd_per_impov,fnd_per_hmls,pc1,pc2,pc3,pc4,pc5,pc6,pc7
OR-503,239530,1799,0.007510541477059241,23.295662338746713,0.020922609497426817,0.010256181126189616,0.004362431100803028,0.07675685336301194,0.0014703911159131252,0.8862315337966554,0.19708259412576384,0.06548787699586044,0.128929627439385,0.13607332939089295,0.1251645968854721,0.13555686970234576,0.2117051054602799,0.5010959984230239,0.4989040015769762,0.0998896116696235,0.9001103883303765,0.3333333333333333,0,0.9910530771379612,0.5421944103037482,0.15969607165522062,0.10308925143109422,1.1889978312038723e-5,66637.93397486745,7740.09064000334,0.512387806477339,9.331430959855224e-4,0.14808698271252307,0.46767419515093306,4.1748415536676e-6,0.057069911696212366,5580010,225.97566686491794,1033.9095793959607,-1.5948907166747275,0.38903932906269106,-0.28068472616056256,0.9350449918853087,0.2445036963021331,0.03854817180051999,-0.37664813499725325
OR-504,428472,1755,0.004095950260460427,84.88918529098751,0.015013211930512593,0.02259328788327899,0.01157532320460885,0.15379041799355997,0.010637947501893752,0.7863898114861458,0.23542985853339002,0.09727294666559408,0.13686061344335015,0.1298619809922199,0.11580265925049128,0.11587390969580656,0.16889803141914797,0.5007113552524219,0.49928864474757806,0.25648321592332535,0.7435167840766747,0,0,0.947229477906617,0.8269894659335307,0.3303249690902229,0.13113450597302506,8.608427411071363e-5,62577.93896450643,16691.01754607069,0.5022839150021146,0.002889344072549583,0.055454562770486084,0.3735996750850884,0,0.24735837080847312,36372639,647.3443786675765,10362.575213675214,0.9327922607893646,-0.7426340892387073,0.7696145827340758,0.36214632222543874,0.026815774299470657,-0.06767861076926313,-0.7852424774531421
OR-505,1091100,6462,0.005922463568875447,35.62593071212538,0.013762252691361422,0.015294594589568545,0.0069178542006438064,0.1034684112552744,0.0020920930042269575,0.8584647942589249,0.2014161922330288,0.08732142234414776,0.11992746463319655,0.1201840924718626,0.11183251054454281,0.1359617865947274,0.22335653117849405,0.49729736013112164,0.5027026398688784,0.12709784316372946,0.8729021568362706,0.6538461538461539,0,0.9957969160951452,0.40276900366983276,0.19508752631808085,0.1408161638594446,5.547971193820347e-6,56134.03005499038,4505.343615617267,0.4948352894853396,0.0018029094633415454,0.13480982664524171,0.46029328186598756,2.7495172063055634e-6,0.07056703901032359,38871453,252.99603210101176,231.36117063066925,-1.5180853014239322,-0.5561301561293902,-0.4559442537982131,0.4486498436611413,-0.2496257726810398,0.038746119298867635,-0.5797559713348645
OR-506,595761,874,0.0014670312423941815,54.96537201998788,0.009609138881582126,0.12006592191366806,0.02462766823598041,0.13157362622418103,0.005477388103635547,0.7086462566409528,0.21994582401801868,0.0799129052786598,0.15576261190872046,0.15545441520925724,0.13255123561887563,0.11309486127816668,0.14327814668830152,0.5006563756734514,0.49934362432654855,0.181937674297728,0.818062325702272,0,0,0.8368439390000001,0.94504907,0.353341357,0.084519669,3.175942777505475e-4,86626,35737,0.46318457300000004,0.001950323,0.038753275,0.389471617,0,0.305406152952,32746225,650.3263994087326,37467.0766590389,1.07118277552747,1.3795266698642332,0.9575042119651922,0.3206333619636707,0.08647769119227472,0.010125824546174028,0.16138597973748375
OR-507,415084,353,8.504302743541066e-4,119.4239310597373,0.00596687087387447,0.05150287189368478,0.01090412557394973,0.09869116172573476,0.0021254219587712266,0.830809547973985,0.21077980999649545,0.07223400930126826,0.12076493933337754,0.13918040861172415,0.13105363857658392,0.13256675222823153,0.19342044195231917,0.503769760459191,0.4962302395408091,0.09782907261998353,0.9021709273800165,0,0,0.930570562,0.828904061,0.190137418,0.074796326,8.567060457639811e-5,82911,23006,0.505245857,0.001041863,0.056258441,0.406732131,0,0.146475257004,49570963,1596.6550423845326,140427.65722379604,-0.4894888472488319,1.3791978326146477,0.517803649281377,1.115483645747254,0.5037420794737455,0.1609219064338172,-0.6001191322974062
PA-500,1581531,5191,0.0032822625670947962,547.8132790315208,0.004835305175197063,0.08478264917075068,0.4353712365541348,0.08016042290301738,5.613146623802637e-4,0.3942890715345198,0.21405153586378436,0.0977868243311561,0.18678148571313016,0.13402471638591737,0.10863152413500232,0.11519231158116115,0.14353160198984855,0.5264188287395604,0.47358117126043964,0.15200842753432692,0.8479915724656731,1,1,0,1,0.65866872,0.230694713,0.004544869156672592,49127,113531,0.522101436,0.0018919469999999997,0.11027961700000001,0.43573031399999995,0,2.02560908949,866383683,2374.6243332049,166901.1140435369,2.9643567245884075,-0.17284082349844063,-3.9191885757863156,-3.662952024358,1.3774463736842955,-0.322818042764642,-0.46805778853101554
PA-501,277071,382,0.0013787079845960061,366.21254118980335,0.0036250890896395533,0.06377190157991658,0.18366394483497162,0.0735473414204416,5.318244472824494e-4,0.6748598986277482,0.22447510122302458,0.08150018783654046,0.13835552587274422,0.12341208554215191,0.122229411028092,0.13301261983275592,0.1770150686646909,0.5115832533288809,0.48841674667111906,0.1127888856423314,0.8872111143576686,0,0,0.78039007,0.851735853,0.354995651,0.11887616300000001,2.0381749279052197e-4,63123,23633,0.417693963,6.06545e-4,0.089009722,0.450693144,3.60918e-6,0.46294962177,101466875,3080.6221529021195,265620.09162303666,-0.4905616883965043,0.456498578271442,0.6858257082739161,-0.8350982589974161,-0.4710594882481448,-0.6210942824139333,0.31079474123151685
PA-502,565328,575,0.0010171086519684149,130.8473399513203,0.0011563650703144566,0.06274568317018106,0.22540237418978953,0.05041289871059078,5.790706803725236e-4,0.6597036081787516,0.22103454559654284,0.09720493930006335,0.1275523043414122,0.12924617533994567,0.11957236699381286,0.13515216202847993,0.17023750639974314,0.5156674389746527,0.48433256102534733,0.04813127500238634,0.9518687249976137,0,0,0.1137261,0.992151934,0.340970198,0.09909637,0.0011874922828902677,76238,42080,0.508190415,0.001388385,0.067409431,0.397549741,1.76888e-6,0.94118066752,73971665,1320.4049749886933,128646.37391304348,0.5684001693224648,1.2293892278598415,-0.09879727569784261,-0.14963618857952485,0.9093406013168666,0.30815514394162113,-0.46005306633985904
PA-503,317547,167,5.259064012571367e-4,311.4150283265154,0.0010593676237391043,0.01189471210029563,0.05663313106032768,0.08368342122774086,0.0016618829597407198,0.845067485028156,0.20262410346710513,0.08531864113529133,0.12592567596586274,0.11958168956187228,0.1268643896213855,0.14026406690022025,0.19942143334826276,0.5019387811447398,0.49806121885526017,0.15926534919534446,0.8407346508046555,0,0,0.868897806,0.777775389,0.197447937,0.146137924,1.3777823741604735e-4,53194,13067,0.43027243,6.9979e-4,0.134429394,0.47311106700000005,3.14914e-6,0.35940287007,98888908,2130.96655407884,592149.1497005988,-1.488901829096504,-0.20857455459505322,-0.06459149366520595,-0.637772981361785,-0.7169834206781047,-0.5069022546183988,-0.18646514209982146
PA-504,827180,467,5.645687758408086e-4,150.40326047534998,0.001833745906393558,0.07982013633295891,0.09465734690416008,0.06336861258025604,3.01275200662331e-4,0.7600188830755691,0.21478243200092892,0.07950187233301402,0.1227913727539261,0.13317077418793,0.12715956921826468,0.13878487038810997,0.18380910911782636,0.5101047925919475,0.4898952074080525,0.06478098057998781,0.9352190194200122,0,0,0.238680458,0.966634873,0.251478517,0.057845904,6.612738179158711e-4,93518,36305,0.448610327,5.93131e-4,0.052176008,0.406427863,0,0.9686939544,124410569,2600.067594679651,266403.7880085653,-0.07941703475991332,2.5667032108697483,0.7346259549040878,0.4116141253718019,0.1145199313853473,-0.12904916350226212,-0.22181506851608995
