"","raceId","driverId","lap","position","badform_time","milliseconds","hoursLap","minLap","minutesIn","secondsIn","secondsLap","AirTemp","Humidity","Pressure","Rainfall","TrackTemp","WindDirection","WindSpeed","Year","weatherStampSeconds","constructorId","positionFinish","grid","points","rank"
"61",989,4,3,10,01:31:00,91304,0.001056759,1.522,88.50044448,5310.026669,91.3039776,24.1,28.7,997.1,0,33.6,311,3.4,2018,5338.272,1,5,10,10,"7"
"62",989,4,4,10,01:30:00,90551,0.001048044,1.509,86.97871152,5218.722691,90.5510016,24.2,28.3,997,0,33.6,326,4.2,2018,5278.257,1,5,10,10,"7"
"63",989,4,5,10,01:31:00,91910,0.001063773,1.532,85.46952816,5128.17169,91.9099872,23.3,28.1,997.1,0,34,295,3.1,2018,5158.227,1,5,10,10,"7"
"64",989,4,6,10,01:31:00,91731,0.001061701,1.529,83.93769504,5036.261702,91.7309664,23.4,27.5,997,0,34.3,284,5,2018,5038.2,1,5,10,10,"7"
"65",989,4,7,10,01:31:00,91167,0.001055174,1.519,82.4088456,4944.530736,91.1670336,23.5,27.1,997.1,0,34.5,330,4.2,2018,4978.185,1,5,10,10,"7"
"66",989,4,8,10,01:30:00,90926,0.001052384,1.515,80.88939504,4853.363702,90.9259776,23.8,26.6,997,0,35.7,306,4.5,2018,4858.199,1,5,10,10,"7"
"67",989,4,9,10,01:30:00,90407,0.001046377,1.507,79.37396208,4762.437725,90.4069728,23.9,26.3,997.2,0,35.7,327,3,2018,4798.495,1,5,10,10,"7"
"68",989,4,10,10,01:31:00,90985,0.001053067,1.516,77.8671792,4672.030752,90.9849888,24,25.6,997.1,0,36.5,294,5.3,2018,4678.62,1,5,10,10,"7"
"69",989,4,11,10,01:30:00,90872,0.001051759,1.515,76.35076272,4581.045763,90.8719776,24,26,997,0,36.5,306,4.2,2018,4618.176,1,5,10,10,"7"
"70",989,4,12,10,01:30:00,90492,0.001047361,1.508,74.83622976,4490.173786,90.4919904,24.1,25.7,997,0,36.5,306,5.1,2018,4498.072,1,5,10,10,"7"
"71",989,4,13,10,01:30:00,90171,0.001043646,1.503,73.32802992,4399.681795,90.1710144,24,26,997.1,0,36.7,308,4.1,2018,4438.133,1,5,10,10,"7"
"72",989,4,14,10,01:30:00,90069,0.001042465,1.501,71.82517968,4309.510781,90.068976,24,26.5,997.1,0,36.5,292,3.8,2018,4318.267,1,5,10,10,"7"
"73",989,4,15,10,01:30:00,90501,0.001047465,1.508,70.32403008,4219.441805,90.500976,24,25.6,997.1,0,36.7,273,3.8,2018,4258.242,1,5,10,10,"7"
"74",989,4,16,10,01:30:00,89985,0.001041493,1.5,68.81568048,4128.940829,89.9849952,24.1,26.1,997,0,36.6,309,2.8,2018,4137.986,1,5,10,10,"7"
"75",989,4,17,10,01:30:00,90266,0.001044745,1.504,67.31593056,4038.955834,90.265968,24,25.9,997,0,36.7,292,5.4,2018,4077.98,1,5,10,10,"7"
"76",989,4,18,10,01:30:00,90182,0.001043773,1.503,65.81149776,3948.689866,90.1819872,24.4,25.7,997,0,37,290,4.5,2018,3957.945,1,5,10,10,"7"
"77",989,4,19,10,01:29:00,89597,0.001037002,1.493,64.30846464,3858.507878,89.5969728,24.5,26.4,996.9,0,37.1,282,4.7,2018,3898.174,1,5,10,10,"7"
"78",989,4,20,10,01:29:00,89617,0.001037234,1.494,62.81518176,3768.910906,89.6170176,24.5,25.6,996.9,0,37.5,278,5.2,2018,3778.026,1,5,10,10,"7"
"79",989,4,21,9,01:29:00,89865,0.001040104,1.498,61.3215648,3679.293888,89.8649856,24.5,27.2,997,0,37.5,290,4.3,2018,3717.918,1,5,10,10,"7"
"80",989,4,22,7,01:29:00,89626,0.001037338,1.494,59.82381504,3589.428902,89.6260032,24.3,27.4,996.8,0,37.4,313,4,2018,3597.901,1,5,10,10,"7"
"81",989,4,23,7,01:28:00,88803,0.001027813,1.48,58.33004832,3499.802899,88.8030432,24.3,26.8,996.9,0,37.3,297,2.9,2018,3538.675,1,5,10,10,"7"
"82",989,4,24,5,01:29:00,89177,0.001032141,1.486,56.8499976,3410.999856,89.1769824,24.2,26.2,996.8,0,37.3,301,3.9,2018,3417.815,1,5,10,10,"7"
"83",989,4,25,5,01:29:00,89137,0.001031678,1.486,55.36371456,3321.822874,89.1369792,24.2,26,996.8,0,37.6,312,5.3,2018,3357.8,1,5,10,10,"7"
"84",989,4,26,5,02:20:00,140530,0.001626505,2.342,53.87809824,3232.685894,140.530032,24.6,26,996.7,0,38.3,289,5.7,2018,3238.02,1,5,10,10,"7"
"85",989,4,27,6,02:10:00,130157,0.001506447,2.169,51.53593104,3092.155862,130.1570208,24.8,26.5,996.8,0,38.4,295,5.2,2018,3117.77,1,5,10,10,"7"
"86",989,4,28,6,02:03:00,123009,0.001423715,2.05,49.36664736,2961.998842,123.008976,24.6,28.1,996.7,0,38.2,300,3.4,2018,2997.752,1,5,10,10,"7"
"87",989,4,29,6,01:49:00,109309,0.00126515,1.822,47.31649776,2838.989866,109.30896,24.5,28.7,996.8,0,38.3,300,4,2018,2877.812,1,5,10,10,"7"
"88",989,4,30,6,01:58:00,118259,0.001368738,1.971,45.49468176,2729.680906,118.2589632,23.9,33.8,996.9,0,37,317,2.5,2018,2757.669,1,5,10,10,"7"
"89",989,4,31,5,02:12:00,132005,0.001527836,2.2,43.52369904,2611.421942,132.0050304,23.7,34.6,996.8,0,36.7,278,2.5,2018,2638.309,1,5,10,10,"7"
"90",989,4,32,5,01:30:00,90188,0.001043843,1.503,41.3236152,2479.416912,90.1880352,23.9,34.9,996.7,0,37.8,279,2.5,2018,2518.081,1,5,10,10,"7"
"91",989,4,33,5,01:29:00,89043,0.00103059,1.484,39.82048128,2389.228877,89.042976,24.1,34.9,996.9,0,38.4,279,2.4,2018,2398.038,1,5,10,10,"7"
"92",989,4,34,5,01:29:00,89205,0.001032465,1.487,38.33643168,2300.185901,89.204976,24.1,34.5,996.8,0,38.3,292,3.2,2018,2338.795,1,5,10,10,"7"
"93",989,4,35,5,01:28:00,88627,0.001025775,1.477,36.84968208,2210.980925,88.62696,24.1,34.5,996.8,0,38.5,349,3.8,2018,2217.554,1,5,10,10,"7"
"94",989,4,36,5,01:28:00,88380,0.001022917,1.473,35.37256608,2122.353965,88.3800288,24,35,996.8,0,38.6,291,2.9,2018,2157.925,1,5,10,10,"7"
"95",989,4,37,5,01:28:00,88451,0.001023738,1.474,33.8995656,2033.973936,88.4509632,24.2,34,996.9,0,38.6,289,3.5,2018,2037.516,1,5,10,10,"7"
"96",989,4,38,5,01:28:00,88404,0.001023194,1.473,32.42538288,1945.522973,88.4039616,24.4,33.8,997,0,38.4,275,3.4,2018,1977.572,1,5,10,10,"7"
"97",989,4,39,5,01:28:00,88162,0.001020394,1.469,30.95198352,1857.119011,88.1620416,24.1,35.3,997,0,38.1,315,1.1,2018,1857.476,1,5,10,10,"7"
"98",989,4,40,5,01:28:00,88279,0.001021748,1.471,29.48261616,1768.95697,88.2790272,23.9,35.2,997,0,37.7,211,2.3,2018,1797.489,1,5,10,10,"7"
"99",989,4,41,5,01:28:00,88080,0.001019444,1.468,28.01129904,1680.677942,88.0799616,23.7,35.6,997.1,0,37.2,270,2,2018,1737.45,1,5,10,10,"7"
"100",989,4,42,5,01:27:00,87936,0.001017778,1.466,26.54329968,1592.597981,87.9360192,23.9,35.6,997,0,36.2,354,1.2,2018,1617.439,1,5,10,10,"7"
"101",989,4,43,5,01:28:00,88020,0.00101875,1.467,25.07769936,1504.661962,88.02,23.9,35.6,997,0,36.3,283,1.5,2018,1557.411,1,5,10,10,"7"
"102",989,4,44,5,01:28:00,88096,0.00101963,1.468,23.61069936,1416.641962,88.096032,24,35,997,0,37.1,267,0.9,2018,1437.524,1,5,10,10,"7"
"103",989,4,45,5,01:28:00,88174,0.001020532,1.47,22.14243216,1328.54593,88.1739648,23.9,35.3,997,0,37.9,297,2.4,2018,1377.588,1,5,10,10,"7"
"104",989,4,46,5,01:28:00,88206,0.001020903,1.47,20.67286608,1240.371965,88.2060192,24.1,35.1,997.1,0,38,283,4,2018,1257.606,1,5,10,10,"7"
"105",989,4,47,5,01:28:00,87994,0.001018449,1.467,19.20276576,1152.165946,87.9939936,23.9,35.9,997,0,38,294,2,2018,1197.349,1,5,10,10,"7"
"106",989,4,48,5,01:28:00,88425,0.001023438,1.474,17.7361992,1064.171952,88.4250432,23.8,35.6,997,0,37.5,297,2.9,2018,1077.37,1,5,10,10,"7"
"107",989,4,49,5,01:27:00,87920,0.001017593,1.465,16.26244848,975.7469088,87.9200352,23.5,36.7,997.1,0,36.4,301,3.4,2018,1017.351,1,5,10,10,"7"
"108",989,4,50,5,01:27:00,87677,0.00101478,1.461,14.79711456,887.8268736,87.676992,23.4,36.5,997.2,0,36.3,283,2.1,2018,897.832,1,5,10,10,"7"
"109",989,4,51,5,01:27:00,87351,0.001011007,1.456,13.33583136,800.1498816,87.3510048,23.5,36.3,997.2,0,36.4,267,2.5,2018,837.637,1,5,10,10,"7"
"110",989,4,52,5,01:27:00,87546,0.001013264,1.459,11.87998128,712.7988768,87.5460096,23.9,36.3,997.1,0,36.8,255,2.9,2018,717.661,1,5,10,10,"7"
"111",989,4,53,5,01:27:00,87425,0.001011863,1.457,10.42088112,625.2528672,87.4249632,23.9,36.5,997.1,0,36.7,289,4.3,2018,657.202,1,5,10,10,"7"
"112",989,4,54,5,01:27:00,87120,0.001008333,1.452,8.9637984,537.827904,87.1199712,24.2,36.3,996.9,0,38.2,296,3.8,2018,538.221,1,5,10,10,"7"
"113",989,4,55,5,01:27:00,87154,0.001008727,1.453,7.51179888,450.7079328,87.1540128,24.2,36.3,997,0,38.9,307,4.1,2018,477.159,1,5,10,10,"7"
"114",989,4,56,5,01:27:00,87282,0.001010208,1.455,6.059232,363.55392,87.2819712,24.2,36.5,997.1,0,38.8,306,2,2018,417.146,1,5,10,10,"7"
