,"Total Beds (ES, TH, SH)",,,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,,,Transitional Housing (TH),,,,,,,,,,Safe Haven (SH),,,,,,,,,,Rapid Re-Housing (RRH),,,,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,,,Other Permanent Housing (OPH),,,,,,,,,
CoC Number,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
TN-502,623,578,545,87.48%,451,172,0,26,62,557,4,45,4,451,419,386,85.59%,0,30,23,56,391,4,0,4,172,159,159,92.44%,3,6,166,0,45,0,0,0,0,.,0,0,0,0,0,0,89,89,89,100.00%,17,48,41,0,46,0,338,338,338,100.00%,21,48,290,0,99,0,153,171,171,171,100.00%,46,157,14,0,0,0
TN-503,244,165,165,67.62%,161,83,0,34,108,136,0,38,0,161,120,120,74.53%,0,0,23,74,87,0,0,0,83,45,45,54.22%,11,34,49,0,38,0,0,0,0,.,0,0,0,0,0,0,83,83,83,100.00%,15,54,29,0,0,0,38,38,38,100.00%,1,2,36,0,0,0,0,0,0,0,.,0,0,0,0,0,0
TN-504,1540,1437,442,28.70%,1104,429,7,75,312,1216,12,115,18,1104,1019,220,19.93%,90,312,56,252,840,12,0,12,429,411,215,50.12%,19,60,369,0,108,6,7,7,7,100.00%,0,0,7,0,7,0,875,629,826,94.40%,193,712,163,0,163,98,1162,1162,1162,100.00%,127,400,762,0,710,0,65,875,875,519,59.31%,132,460,415,0,0,18
TN-506,307,215,215,70.03%,277,30,0,21,124,183,0,0,0,277,200,200,72.20%,54,0,20,119,158,0,0,0,30,15,15,50.00%,1,5,25,0,0,0,0,0,0,.,0,0,0,0,0,0,45,45,45,100.00%,4,23,22,0,30,0,130,130,130,100.00%,43,51,79,0,52,0,0,0,0,0,.,0,0,0,0,0,0
TN-507,32,12,12,37.50%,23,9,0,4,14,18,0,0,5,23,7,7,30.43%,22,0,4,14,9,0,0,0,9,5,5,55.56%,0,0,9,0,0,5,0,0,0,.,0,0,0,0,0,0,159,111,111,69.81%,22,75,84,0,17,6,115,115,115,100.00%,14,62,53,0,25,0,15,0,0,0,.,0,0,0,0,0,0
TN-509,407,313,228,56.02%,320,87,0,17,114,290,3,14,3,320,251,181,56.56%,0,0,16,110,207,3,0,3,87,62,47,54.02%,1,4,83,0,14,0,0,0,0,.,0,0,0,0,0,0,158,156,158,100.00%,15,51,107,0,88,0,408,408,248,60.78%,24,67,341,0,160,0,0,0,0,0,.,0,0,0,0,0,0
TN-510,182,108,108,59.34%,94,88,0,25,101,81,0,0,0,94,52,52,55.32%,0,55,15,69,25,0,0,0,88,56,56,63.64%,10,32,56,0,0,0,0,0,0,.,0,0,0,0,0,0,229,229,139,60.70%,116,168,61,0,0,0,368,368,22,5.98%,45,150,218,0,222,0,1,0,0,0,.,0,0,0,0,0,0
TN-512,270,168,65,24.07%,235,35,0,74,199,71,0,0,0,235,149,65,27.66%,0,0,68,178,57,0,0,0,35,19,0,0.00%,6,21,14,0,0,0,0,0,0,.,0,0,0,0,0,0,31,31,31,100.00%,6,14,17,0,7,0,47,47,21,44.68%,3,7,40,0,34,0,21,0,0,0,.,0,0,0,0,0,0
TX-500,2438,2254,2236,91.71%,2075,333,30,233,875,1559,4,162,81,2075,1950,1932,93.11%,0,200,166,675,1396,4,36,68,333,274,274,82.28%,67,200,133,0,96,13,30,30,30,100.00%,0,0,30,0,30,0,816,692,759,93.01%,137,434,382,0,304,178,2161,2161,2161,100.00%,362,1029,1132,0,1261,0,756,2233,2233,2233,100.00%,419,1346,887,0,18,0
TX-503,2152,1916,1916,89.03%,1657,480,15,270,860,1282,10,59,65,1657,1526,1526,92.09%,0,310,142,479,1168,10,12,17,480,375,375,78.13%,128,381,99,0,32,48,15,15,15,100.00%,0,0,15,0,15,0,1820,1602,1602,88.02%,527,978,842,0,149,98,1778,1778,1778,100.00%,99,240,1538,0,822,10,936,210,210,210,100.00%,50,148,62,0,0,35
TX-600,3345,3186,1841,55.04%,1885,1405,55,756,975,2338,32,193,110,1885,1837,1512,80.21%,0,635,374,483,1373,29,85,47,1405,1294,274,19.50%,382,492,910,3,78,63,55,55,55,100.00%,0,0,55,0,30,0,1705,1636,1636,95.95%,305,784,921,0,202,16,2487,2487,2487,100.00%,197,400,2087,0,1330,26,1036,1034,1034,1034,100.00%,268,458,576,0,10,8
TX-601,2398,2252,1289,53.75%,2156,222,20,231,862,1516,20,60,95,2156,2058,1136,52.69%,220,150,188,763,1373,20,0,24,222,174,133,59.91%,43,99,123,0,60,71,20,20,20,100.00%,0,0,20,0,0,0,1102,1036,1036,94.01%,260,762,340,0,158,93,2050,2035,2026,98.83%,233,632,1418,0,743,8,1174,673,673,626,93.02%,110,386,287,0,67,0
TX-603,1268,1136,526,41.48%,943,325,0,86,652,609,7,40,44,943,811,331,35.10%,0,20,50,465,471,7,20,22,325,325,195,60.00%,36,187,138,0,20,22,0,0,0,.,0,0,0,0,0,0,617,591,521,84.44%,108,369,248,0,266,18,164,164,141,85.98%,17,56,108,0,15,0,109,48,48,0,0.00%,0,0,48,0,0,0
TX-604,267,172,106,39.70%,165,102,0,31,139,119,9,10,15,165,101,101,61.21%,0,1,4,58,98,9,5,9,102,71,5,4.90%,27,81,21,0,5,6,0,0,0,.,0,0,0,0,0,0,37,20,20,54.05%,10,21,16,0,7,6,80,76,76,95.00%,7,25,55,0,28,1,48,0,0,0,.,0,0,0,0,0,0
TX-607,6020,4479,2852,47.38%,4892,1128,0,651,2214,3779,27,82,81,4892,3501,2372,48.49%,0,0,467,1553,3312,27,26,47,1128,978,480,42.55%,184,661,467,0,56,34,0,0,0,.,0,0,0,0,0,0,1479,992,985,66.60%,306,849,615,15,414,15,1727,1727,375,21.71%,228,305,1422,0,1257,0,406,835,835,0,0.00%,415,415,420,0,0,0
TX-611,424,405,405,95.52%,202,222,0,63,108,316,0,13,10,202,183,183,90.59%,0,0,18,54,148,0,0,1,222,222,222,100.00%,45,54,168,0,13,9,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,118,118,118,100.00%,3,9,109,0,100,0,0,206,206,0,0.00%,13,36,170,0,33,0
TX-624,299,299,299,100.00%,287,12,0,2,44,221,34,0,62,287,287,287,100.00%,0,5,2,44,209,34,0,62,12,12,12,100.00%,0,0,12,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,29,29,29,100.00%,0,0,29,0,0,0,29,0,0,0,.,0,0,0,0,0,0
TX-700,3006,2550,2550,84.83%,2185,806,15,344,957,1999,50,120,185,2185,1771,1771,81.05%,0,0,330,908,1227,50,0,120,806,764,764,94.79%,14,49,757,0,105,65,15,15,15,100.00%,0,0,15,0,15,0,3340,2048,2048,61.32%,638,2195,1145,0,350,147,6723,6526,6526,97.07%,773,2169,4554,0,1697,87,3017,812,812,812,100.00%,17,54,758,0,0,0
TX-701,104,104,104,100.00%,104,0,0,7,14,90,0,0,0,104,104,104,100.00%,0,0,7,14,90,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,74,54,74,100.00%,15,49,25,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
UT-500,1784,1410,1341,75.17%,1434,350,0,131,816,964,4,72,49,1434,1216,1156,80.61%,482,50,68,582,848,4,0,34,350,194,185,52.86%,63,234,116,0,72,15,0,0,0,.,0,0,0,0,0,0,420,409,407,96.90%,70,285,135,0,130,27,2353,2353,2337,99.32%,209,698,1655,0,643,11,1482,691,691,135,19.54%,138,480,211,0,0,0
UT-503,1019,557,548,53.78%,840,179,0,131,491,482,46,20,53,840,518,498,59.29%,82,75,92,358,438,44,0,44,179,39,50,27.93%,39,133,44,2,20,9,0,0,0,.,0,0,0,0,0,0,458,307,330,72.05%,97,349,109,0,44,4,541,541,409,75.60%,43,130,411,0,208,0,74,170,170,0,0.00%,24,81,89,0,0,0
UT-504,157,69,69,43.95%,74,83,0,22,73,56,28,0,28,74,39,39,52.70%,4,2,7,25,21,28,0,28,83,30,30,36.14%,15,48,35,0,0,0,0,0,0,.,0,0,0,0,0,0,160,102,102,63.75%,37,138,22,0,6,0,172,172,167,97.09%,6,22,150,0,0,0,110,217,217,3,1.38%,32,131,86,0,0,0
VA-500,450,373,373,82.89%,357,52,41,92,206,244,0,61,33,357,293,293,82.07%,150,0,82,177,180,0,15,14,52,39,39,75.00%,10,29,23,0,8,19,41,41,41,100.00%,0,0,41,0,38,0,264,230,230,87.12%,66,172,85,7,59,22,1005,1005,353,35.12%,93,230,775,0,455,0,441,107,107,107,100.00%,0,0,107,0,0,0
VA-501,483,402,402,83.23%,439,44,0,59,161,322,0,11,2,439,358,358,81.55%,190,11,39,141,298,0,6,0,44,44,44,100.00%,20,20,24,0,5,2,0,0,0,.,0,0,0,0,0,0,351,335,335,95.44%,67,223,128,0,80,0,633,633,633,100.00%,53,190,443,0,241,0,217,297,297,158,53.20%,50,111,186,0,0,0
VA-502,397,333,333,83.88%,397,0,0,19,164,233,0,0,1,397,333,333,83.88%,0,0,19,164,233,0,0,1,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,94,94,94,100.00%,15,53,41,0,67,0,142,142,142,100.00%,18,18,124,0,111,0,31,0,0,0,.,0,0,0,0,0,0
VA-503,170,129,129,75.88%,154,16,0,26,66,96,8,16,8,154,113,113,73.38%,60,19,26,66,80,8,0,8,16,16,16,100.00%,0,0,16,0,16,0,0,0,0,.,0,0,0,0,0,0,186,142,84,45.16%,22,105,81,0,51,7,224,224,224,100.00%,8,36,188,0,100,5,58,388,388,388,100.00%,65,197,191,0,0,0
VA-504,80,62,62,77.50%,60,20,0,11,27,53,0,0,0,60,54,54,90.00%,55,0,3,7,53,0,0,0,20,8,8,40.00%,8,20,0,0,0,0,0,0,0,.,0,0,0,0,0,0,35,35,35,100.00%,0,0,35,0,10,0,131,131,103,78.63%,1,2,129,0,30,0,73,80,80,15,18.75%,0,0,80,0,0,0
VA-505,217,158,105,48.39%,199,18,0,35,124,93,0,10,0,199,140,87,43.72%,227,31,30,106,93,0,10,0,18,18,18,100.00%,5,18,0,0,0,0,0,0,0,.,0,0,0,0,0,0,92,92,92,100.00%,15,61,31,0,7,0,518,518,518,100.00%,18,77,441,0,304,0,72,350,350,88,25.14%,75,218,132,0,0,0
VA-507,85,30,30,35.29%,75,10,0,18,47,38,0,1,0,75,20,20,26.67%,0,0,18,47,28,0,0,0,10,10,10,100.00%,0,0,10,0,1,0,0,0,0,.,0,0,0,0,0,0,92,18,18,19.57%,22,77,15,0,18,0,148,148,148,100.00%,18,45,103,0,38,0,102,89,89,60,67.42%,9,24,65,0,0,0
VA-508,87,64,64,73.56%,87,0,0,12,39,48,0,0,0,87,64,64,73.56%,0,0,12,39,48,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,97,97,97,100.00%,26,82,15,0,9,0,79,79,79,100.00%,15,15,64,0,4,0,19,0,0,0,.,0,0,0,0,0,0
VA-513,286,224,191,66.78%,286,0,0,38,137,149,0,0,0,286,224,191,66.78%,80,6,38,137,149,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,62,41,41,66.13%,12,32,30,0,24,0,119,119,119,100.00%,3,10,109,0,15,0,15,0,0,0,.,0,0,0,0,0,0
VA-514,202,170,90,44.55%,188,14,0,34,110,92,0,0,0,188,156,76,40.43%,37,13,34,110,78,0,0,0,14,14,14,100.00%,0,0,14,0,0,0,0,0,0,.,0,0,0,0,0,0,120,75,75,62.50%,30,100,20,0,27,0,216,216,68,31.48%,15,41,175,0,83,0,68,0,0,0,.,0,0,0,0,0,0
VA-521,1096,780,380,34.67%,878,218,0,191,573,523,0,0,5,878,595,357,40.66%,103,37,138,415,463,0,0,0,218,185,23,10.55%,53,158,60,0,0,5,0,0,0,.,0,0,0,0,0,0,235,234,224,95.32%,47,136,99,0,7,14,469,464,228,48.61%,18,47,422,0,0,0,452,97,97,22,22.68%,9,26,71,0,33,0
VA-600,234,219,219,93.59%,220,14,0,34,93,141,0,0,0,220,205,205,93.18%,0,17,34,93,127,0,0,0,14,14,14,100.00%,0,0,14,0,0,0,0,0,0,.,0,0,0,0,0,0,177,177,177,100.00%,32,105,72,0,0,0,259,259,259,100.00%,19,49,210,0,0,0,173,13,13,13,100.00%,5,13,0,0,0,0
VA-601,639,535,535,83.72%,489,150,0,131,462,169,8,0,42,489,393,393,80.37%,405,263,85,326,156,7,0,8,150,142,142,94.67%,46,136,13,1,0,34,0,0,0,.,0,0,0,0,0,0,328,328,328,100.00%,77,286,42,0,8,18,644,644,576,89.44%,47,158,486,0,68,0,332,746,746,470,63.00%,161,673,73,0,0,0
VA-602,113,101,61,53.98%,87,26,0,49,92,21,0,0,0,87,75,61,70.11%,30,23,36,74,13,0,0,0,26,26,0,0.00%,13,18,8,0,0,0,0,0,0,.,0,0,0,0,0,0,37,37,37,100.00%,5,22,15,0,0,0,14,14,14,100.00%,1,4,10,0,0,0,0,0,0,0,.,0,0,0,0,0,0
VA-603,175,152,152,86.86%,147,28,0,27,118,57,0,0,0,147,124,124,84.35%,64,0,21,104,43,0,0,0,28,28,28,100.00%,6,14,14,0,0,0,0,0,0,.,0,0,0,0,0,0,102,102,102,100.00%,32,89,13,0,0,0,50,50,50,100.00%,10,10,40,0,0,0,31,30,30,30,100.00%,0,0,30,0,3,0
VA-604,277,259,233,84.12%,236,41,0,49,194,83,0,0,0,236,218,192,81.36%,44,2,38,156,80,0,0,0,41,41,41,100.00%,11,38,3,0,0,0,0,0,0,.,0,0,0,0,0,0,88,59,38,43.18%,21,62,26,0,21,0,216,216,66,30.56%,33,101,115,0,150,0,194,9,9,9,100.00%,0,0,9,0,0,0
VI-500,92,92,92,100.00%,30,62,0,3,13,79,0,0,0,30,30,30,100.00%,0,0,2,8,22,0,0,0,62,62,62,100.00%,1,5,57,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,22,22,22,100.00%,0,0,22,0,0,0,0,0,0,0,.,0,0,0,0,0,0
VT-500,2770,2617,477,17.22%,2656,114,0,363,1180,1583,7,43,28,2656,2554,414,15.59%,29,13,348,1135,1517,4,3,9,114,63,63,55.26%,15,45,66,3,40,19,0,0,0,.,0,0,0,0,0,0,64,64,64,100.00%,9,30,34,0,36,7,826,826,271,32.81%,170,569,257,0,167,10,97,167,167,0,0.00%,18,74,93,0,0,0
VT-501,808,662,189,23.39%,798,10,0,105,364,444,0,0,8,798,659,186,23.31%,30,10,104,360,438,0,0,8,10,3,3,30.00%,1,4,6,0,0,0,0,0,0,.,0,0,0,0,0,0,56,56,56,100.00%,15,44,12,0,10,0,139,130,55,39.57%,15,48,91,0,33,0,30,128,128,23,17.97%,7,27,101,0,0,0
WA-500,6991,6576,5657,80.92%,5173,1742,76,886,2960,3992,39,71,404,5173,5053,4446,85.95%,786,188,507,1742,3399,32,4,183,1742,1447,1135,65.15%,379,1218,517,7,36,221,76,76,76,100.00%,0,0,76,0,31,0,1990,1768,1768,88.84%,391,1277,713,0,300,105,7768,7768,6339,81.60%,416,1407,6361,0,2092,65,3044,1505,1487,1487,98.80%,311,993,512,0,59,51
WA-501,6419,5585,4212,65.62%,4928,1491,0,903,2912,3447,60,178,316,4928,4233,3402,69.03%,266,0,599,1974,2897,57,28,179,1491,1352,810,54.33%,304,938,550,3,150,137,0,0,0,.,0,0,0,0,0,0,3201,3067,2953,92.25%,512,1726,1475,0,313,153,1871,1861,1426,76.22%,166,432,1439,0,501,1,988,2450,2172,1116,45.55%,632,1886,564,0,123,5
WA-502,1643,1614,1344,81.80%,1381,262,0,95,384,1221,38,40,120,1381,1352,1082,78.35%,0,239,39,222,1129,30,10,74,262,262,262,100.00%,56,162,92,8,30,46,0,0,0,.,0,0,0,0,0,0,822,762,729,88.69%,95,320,502,0,378,25,1131,1131,1131,100.00%,61,222,909,0,422,0,458,923,923,878,95.12%,218,649,274,0,0,0
WA-503,2007,1913,1913,95.32%,1831,176,0,372,831,1152,24,117,86,1831,1737,1737,94.87%,0,0,312,727,1080,24,50,86,176,176,176,100.00%,60,104,72,0,67,0,0,0,0,.,0,0,0,0,0,0,878,728,728,82.92%,550,834,44,0,98,11,1432,1432,1432,100.00%,86,262,1170,0,697,14,621,809,809,809,100.00%,149,570,239,0,0,0
WA-504,546,512,501,91.76%,525,21,0,88,210,314,22,2,33,525,499,488,92.95%,0,0,86,202,311,12,2,23,21,13,13,61.90%,2,8,3,10,0,10,0,0,0,.,0,0,0,0,0,0,766,728,714,93.21%,145,323,443,0,77,33,1483,1483,1381,93.12%,259,758,725,0,429,10,977,676,624,431,63.76%,196,583,93,0,0,20
WA-508,685,645,645,94.16%,448,237,0,159,255,425,5,0,69,448,422,422,94.20%,72,0,114,136,307,5,0,9,237,223,223,94.09%,45,119,118,0,0,60,0,0,0,.,0,0,0,0,0,0,304,304,304,100.00%,49,142,162,0,0,62,638,638,638,100.00%,19,78,560,0,274,6,310,72,72,72,100.00%,0,0,72,0,0,0
WI-500,3173,2335,1888,59.50%,2463,710,0,596,1728,1416,29,114,103,2463,1802,1571,63.78%,288,27,449,1301,1133,29,1,43,710,533,317,44.65%,147,427,283,0,113,60,0,0,0,.,0,0,0,0,0,0,937,702,784,83.67%,226,737,200,0,73,134,928,928,876,94.40%,84,249,679,0,468,0,386,1128,1128,31,2.75%,271,902,226,0,0,0
WI-501,825,737,737,89.33%,614,164,47,75,260,537,28,92,39,614,531,531,86.48%,183,0,64,219,367,28,0,28,164,159,159,96.95%,11,41,123,0,92,11,47,47,47,100.00%,0,0,47,0,0,0,683,656,656,96.05%,124,485,198,0,28,42,2024,2024,2024,100.00%,133,478,1546,0,813,11,346,33,33,33,100.00%,1,3,30,0,33,0
WI-502,251,182,182,72.51%,176,75,0,22,97,151,3,40,3,176,142,142,80.68%,0,2,14,66,107,3,0,3,75,40,40,53.33%,8,31,44,0,40,0,0,0,0,.,0,0,0,0,0,0,46,46,46,100.00%,9,36,10,0,0,3,132,132,132,100.00%,8,31,101,0,70,0,60,184,184,0,0.00%,33,136,48,0,0,0
WI-503,538,505,504,93.68%,506,32,0,69,215,315,8,26,8,506,473,472,93.28%,0,115,69,215,283,8,2,8,32,32,32,100.00%,0,0,32,0,24,0,0,0,0,.,0,0,0,0,0,0,395,395,395,100.00%,84,298,97,0,10,0,909,909,909,100.00%,128,402,507,0,256,0,238,877,877,729,83.12%,122,455,422,0,6,0
WV-500,89,55,30,33.71%,64,25,0,7,29,55,5,5,25,64,30,5,7.81%,40,0,7,29,30,5,0,5,25,25,25,100.00%,0,0,25,0,5,20,0,0,0,.,0,0,0,0,0,0,12,12,12,100.00%,1,2,10,0,9,3,30,30,30,100.00%,0,0,30,0,0,0,28,0,0,0,.,0,0,0,0,0,0
WV-501,220,198,185,84.09%,212,0,8,23,71,149,0,13,0,212,190,177,83.49%,0,0,23,71,141,0,13,0,0,0,0,.,0,0,0,0,0,0,8,8,8,100.00%,0,0,8,0,0,0,148,80,80,54.05%,27,73,75,0,25,0,367,367,361,98.37%,52,117,250,0,110,0,0,98,90,90,91.84%,4,8,90,0,0,2
WV-503,213,187,157,73.71%,198,15,0,17,56,150,7,12,10,198,172,142,71.72%,0,0,17,56,135,7,0,7,15,15,15,100.00%,0,0,15,0,12,3,0,0,0,.,0,0,0,0,0,0,57,29,29,50.88%,16,34,23,0,8,0,131,131,131,100.00%,4,4,127,0,62,0,69,0,0,0,.,0,0,0,0,0,0
WV-508,771,520,451,58.50%,654,117,0,105,319,452,0,44,38,654,409,340,51.99%,46,17,92,293,361,0,21,0,117,111,111,94.87%,13,26,91,0,23,38,0,0,0,.,0,0,0,0,0,0,272,245,245,90.07%,22,71,201,0,98,30,506,506,244,48.22%,45,123,383,0,262,0,167,139,139,129,92.81%,27,78,61,0,8,0
WY-500,704,556,370,52.56%,480,224,0,58,180,491,33,24,96,480,332,248,51.67%,0,10,56,174,283,23,3,23,224,224,122,54.46%,2,6,208,10,21,73,0,0,0,.,0,0,0,0,0,0,73,73,73,100.00%,8,28,45,0,72,0,254,254,35,13.78%,7,23,231,0,219,0,35,0,0,0,.,0,0,0,0,0,0
Total,509710,463911,391588,76.83%,421973,85485,2252,80909,246630,259670,3410,16243,17510,421973,387862,333705,79.08%,15124,67786,66808,208361,210799,2813,3863,7524,85485,73797,55678,65.13%,14101,38269,46619,597,11037,9976,2252,2252,2205,97.91%,0,0,2252,0,1343,10,146652,129619,128368,87.53%,33523,95332,50501,819,22828,8228,397241,394414,310432,78.15%,42418,118352,278595,294,109891,4971,160475,136962,135898,85027,62.08%,27254,75135,61646,181,3681,3170
