,GEOID,NAME,county,state,total_pop,ALAND,AWATER,metro,nonmetro,percent_urban,percent_rural,urban,rural,disadvantaged_county,persistent_poverty_county,percent_poc,percent_poc_bucket,poverty_rate,poverty_rate_bucket,pop_density,pop_density_bucket,med_hh_income,med_hh_income_bucket,broadband_speed,hh_int_access,transport_costs,annual_vehicle_mi_per_hh,employment_access_index,commute_time,freq_fatal_accidents,pub_transit_commute,green_commute,pub_transit_stops,avg_hh_person_trips,access_to_car,highway_miles,ghg_per_acre,ozone,pm25,diesel_pm,contaminated_sites,superfund_site,water_system_violations,energy_cost_hh,housing_cost_burden,overcrowded_housing,vacancy_rate,homelessness,incomplete_plumbing,incomplete_kitchen,housing_units,permits,transport_trade_jobs,capacity_housing,capacity_environment,capacity_transport,airports_primary,bridges,bridges_poor_condition,docks,rr_freight_route_miles,rr_pax_route_miles,rr_incident_number,rr_incident_killed,hud_pbs8,hud_hcv,hud_202,hud_ph,stations_elevated,stations_subway,intercity_km,rail_transit_km,cnw_500,age_under_18,age_over_64
320,10005,"Sussex County, Delaware",Sussex County,Delaware,230249,2424605749,674113743,0,1,0.624181685,0.856076787,1,1,0,0,0.253612394,7,0.11702292,4,245.9528428,9,64905,9,188.1894189,0.841652251,23,20142,4650,0.191796409,0.00013898,0.00357772,0.017615072,0.001176987,7.378867925,0.966197213,1.26518E-06,3.92,59.47128392,7.200925731,0.127552728,0.000130294,1.73725E-05,0.004826258,0.024282213,0.548650656,0.00132664,0.332334205,0.00168658,0.00894964,0.008793747,0.612914714,0.012203218,0.01593058,0.000838223,0.001984808,0.001081438,0,0.000720959,0.06626506,8.68625E-06,0.000405213,0,6.51469E-05,4.34312E-06,0.003400666,0.00062541,0.000295332,0.000686214,0,0,0,0,0.003159501,0.186042068,0.279002298
321,10001,"Kent County, Delaware",Kent County,Delaware,179124,1517891101,549776917,1,0,0.735283281,0.862529936,1,1,0,0,0.394369264,8,0.132358613,5,305.6422331,9,60117,8,254.4743748,0.872553827,24,19350,8728,0.207757865,8.93236E-05,0.008614031,0.03398484,0.001931623,7.8971875,0.933059927,1.37507E-06,6.69,63.20025098,7.162743054,0.160687378,6.69927E-05,1.11654E-05,0.007094865,0.028129032,0.543797312,0.000460631,0.079016874,0.002167958,0.020595843,0.020021075,0.407946451,0.006800868,0.021560483,0.00067551,0.0016804,0.000887653,0,0.00110538,0.03030303,0,0.000240057,0,6.69927E-05,5.58272E-06,0.003561778,0.003840915,0.001077466,0.002333579,0,0,0,0,0.004896458,0.229589558,0.171194256
322,11001,"District of Columbia, District of Columbia",District of Columbia,District of Columbia,701974,158316184,18709787,1,0,1,0,1,0,0,0,0.632761327,10,0.154525033,7,11484.07649,10,90842,10,380.8825326,0.857152272,8,5172,189361,0.286334474,4.84348E-05,0.359478441,0.549880043,0.00618399,6.664252874,0.645610408,3.49265E-06,25.18,64.80355573,8.260015715,0.477667862,0.000119663,1.42455E-06,0.000129206,0.011327026,0.455247071,0.002948246,0.096759944,0.009088656,0.011864332,0.014201484,0.4547063,0.006792129,0.011353697,0.004437486,0.007872086,0.021778584,0,0.000347591,0.032786885,2.84911E-06,4.51584E-05,3.20525E-05,8.54733E-06,0,0.013962056,0.016953619,0.000586916,0.010510361,4.27366E-06,4.84348E-05,0.000166371,0.000121138,0.00991208,0.179562206,0.122386299
323,12053,"Hernando County, Florida",Hernando County,Florida,190700,1224983072,627920761,1,0,0.799419068,0.788534599,1,1,0,0,0.232889355,6,0.143656984,6,403.2026509,9,50280,5,267.6580126,0.870821818,24,18618,5595,0.288947336,0.000225485,0.003241788,0.016163068,0.001337179,7.156818182,0.952351776,1.99517E-06,7.91,60.31408609,7.472317957,0.161971134,8.39014E-05,0,0.00412672,0.027166138,0.561201883,0.000677895,0.125944326,0.000921605,0.00532127,0.010596962,0.46020451,0.003413881,0.013843734,0.000828526,0.00449397,0.00135291,0,0.000298899,0,0,0.000137913,0,5.24384E-06,0,0,0.001782905,0,0,0,0,0,0,0,0.183864709,0.275207132
324,12129,"Wakulla County, Florida",Wakulla County,Florida,32855,1570615734,804111188,1,0,0.29984599,0.98397313,0,1,0,0,0.208491858,6,0.074574081,1,54.17909247,6,67480,9,189.371146,0.842822,28,22618,1586,0.324708831,9.13103E-05,0.000221141,0.009656494,0,8.075,0.979968371,5.46576E-06,1.18,58.729305,7.962011096,0.082868248,0.000456552,0,0.005512776,0.027374019,0.374020888,0,0.168347216,0.0030627,0.033610989,0.03748356,0.416557602,0.005203936,0.002221884,0.000669609,0.00103485,0.000517425,0,0.001521838,0.14,0,0,0,0,0,0,0.001917516,0,0,0,0,0,0,0.001752803,0.209161467,0.148744483
325,12131,"Walton County, Florida",Walton County,Florida,71049,2689179222,961275980,1,0,0.438523338,0.961797342,0,1,1,0,0.159889654,5,0.115659444,4,68.42906702,7,67390,9,180.7780093,0.866666667,22,21613,2676,0.25679532,0.000380019,0.002603981,0.021901976,1.40748E-05,7.269090909,0.953553344,3.31865E-06,3.02,59.174364,8.113021562,0.10710022,0,0,0.003394963,0.021425529,0.572044437,0.002723939,0.466133453,0.002470126,0.022801424,0.022764137,0.754929696,0.019992612,0.013568101,0.001646751,0.003251277,0.004475784,0,0.003096455,0.045454545,0,0.000309645,0,4.22244E-05,0,0.001365255,0.00372982,0,0.00070374,0,0,0,0,0.004992897,0.203971907,0.196850061
326,12127,"Volusia County, Florida",Volusia County,Florida,546107,2851876607,858119458,1,0,0.914629938,0.772526896,1,1,0,0,0.291267096,7,0.132254713,5,495.8722766,9,52407,6,240.8347501,0.828410153,24,17920,9271,0.204679768,0.000236217,0.010245535,0.031179603,1.83114E-06,7.086396396,0.943245034,7.79908E-07,10.73,57.06728612,7.116851154,0.213794836,0.000137336,1.83114E-06,0.002851826,0.021908547,0.555384008,0.000535424,0.160235941,0.000827677,0.009286003,0.015470321,0.480561502,0.003562545,0.011818197,0.001296449,0.003647637,0.001878753,1.83114E-06,0.000413838,0.03539823,0,0.000161324,7.34288E-05,7.32457E-05,1.83114E-05,0.001613237,0.004385587,0.000609771,0.001402656,0,0,0.000236697,3.8216E-06,0.007258256,0.176448938,0.244904387
327,12051,"Hendry County, Florida",Hendry County,Florida,41472,2993896404,86578552,0,1,0.639995962,0.987593304,1,1,1,0,0.686414931,10,0.267987283,10,35.87718911,5,36978,1,154.6875,0.758347569,37,23258,2930,0.271654676,0.000289352,0.03257554,0.08581295,0,8.033333333,0.929880416,1.91311E-06,4.55,58.662194,6.900012274,0.117539613,0.000265239,0,0.010236081,0.035758749,0.515520743,0.001397733,0.137556925,0.001619567,0.026453255,0.021832306,0.360050154,0.002464948,0.009789738,0.001784336,0.004412616,0.002073688,0,0.001953125,0,0,0.000231481,0,2.41127E-05,2.41127E-05,0.003014082,0.000868056,0.000699267,0,0,0,0,0,0.001917811,0.268060378,0.135054977
328,12095,"Orange County, Florida",Orange County,Florida,1373784,2338564130,260321773,1,0,0.976522965,0.484263217,1,0,0,0,0.607746196,10,0.141849606,6,1523.010821,10,61416,8,275.966621,0.897439513,22,18170,36600,0.223069562,0.000120106,0.021266381,0.04044878,0.002313319,7.769271845,0.946673076,3.46169E-07,19.24,61.67499671,7.615346382,0.409155142,4.14912E-05,2.18375E-06,0.001405216,0.020869704,0.555055247,0.00157667,0.142678955,0.000486976,0.005844601,0.00967079,0.397423467,0.006870142,0.053640165,0.000909896,0.003287999,0.002423962,7.27916E-07,0.00057651,0.002525253,0,5.70687E-05,1.58686E-05,6.40566E-05,6.55125E-06,0.001194511,0.003889258,0.000329746,0.001024906,0,0,2.48023E-05,2.56358E-05,0,0.221363038,0.119167205
329,12011,"Broward County, Florida",Broward County,Florida,1942273,3115520740,273292462,1,0,0.999921826,0.67904784,1,1,0,0,0.644863003,10,0.127133812,5,1614.895127,10,60922,8,277.5788094,0.866650022,21,15242,39722,0.241251029,0.000132834,0.025555135,0.043055885,0.002431172,7.784394366,0.932350463,1.9046E-07,27.45,55.99107434,7.478021796,0.392478168,2.11093E-05,2.5743E-06,0.000619861,0.017334827,0.618870098,0.002411546,0.14695383,0.001138357,0.004862158,0.010086134,0.4254716,0.001999939,0.041381927,0.001235151,0.003038708,0.002319962,5.14861E-07,0.000355254,0.013043478,9.26749E-06,2.58975E-05,2.54341E-05,9.31898E-05,2.5743E-05,0.001692862,0.005251064,0.000320758,7.98034E-05,0,0,4.11652E-05,2.06145E-05,0.005171947,0.211601047,0.16668872
