,"Total Beds (ES, TH, SH)",,,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,,,Transitional Housing (TH),,,,,,,,,,Safe Haven (SH),,,,,,,,,,Rapid Re-Housing (RRH),,,,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,,,Other Permanent Housing (OPH),,,,,,,,,
State,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
LA,2468,2074,1951,79.05%,1923,478,67,228,751,1684,33,199,166,1923,1648,1542,80.19%,0,51,159,536,1354,33,39,102,478,359,342,71.55%,69,215,263,0,117,64,67,67,67,100.00%,0,0,67,0,43,0,1830,1090,1090,59.56%,438,1317,513,0,240,35,5590,5550,5530,98.93%,419,1243,4347,0,1358,63,2062,563,563,481,85.44%,97,295,268,0,20,0
MA,21531,20693,19281,89.55%,19807,1635,89,5058,16700,4783,48,528,257,19807,19359,18099,91.38%,438,8406,4789,16070,3689,48,93,112,1635,1245,1100,67.28%,269,630,1005,0,405,145,89,89,82,92.13%,0,0,89,0,30,0,4175,3924,2596,62.18%,1553,3231,944,0,223,177,10751,10684,9692,90.15%,1298,3296,7455,0,2887,136,5361,6352,6293,4938,77.74%,1224,3147,3205,0,134,17
MD,6034,5624,4707,78.01%,4547,1439,48,691,2521,3498,15,373,208,4547,4194,3747,82.41%,288,194,537,2085,2449,13,78,85,1439,1382,912,63.38%,154,436,1001,2,267,123,48,48,48,100.00%,0,0,48,0,28,0,1791,1642,1591,88.83%,359,1186,605,0,206,126,7886,7886,6597,83.65%,1051,3472,4414,0,1531,87,3014,2404,2404,236,9.82%,509,1687,717,0,0,656
ME,2833,2566,1315,46.42%,2048,770,15,705,1378,1407,48,66,172,2048,1870,1051,51.32%,0,0,395,848,1180,20,24,64,770,681,249,32.34%,310,530,212,28,42,108,15,15,15,100.00%,0,0,15,0,0,0,486,458,469,96.50%,112,197,289,0,154,11,2290,2290,2280,99.56%,269,908,1382,0,306,0,227,361,258,339,93.91%,79,255,106,0,0,23
MI,8911,6710,5764,64.68%,6897,1966,48,1313,4001,4793,117,354,471,6897,5661,4757,68.97%,436,443,915,2916,3902,79,132,205,1966,1001,959,48.78%,398,1085,843,38,188,266,48,48,48,100.00%,0,0,48,0,34,0,2814,2583,2640,93.82%,616,2006,807,1,496,269,8640,8582,6782,78.50%,1016,3182,5458,0,2163,66,4631,2432,2432,1671,68.71%,529,1756,676,0,14,16
MN,8178,7268,5747,70.27%,5924,2254,0,1485,4568,3469,141,189,798,5924,5269,4316,72.86%,252,337,1009,3283,2542,99,59,320,2254,1999,1431,63.49%,476,1285,927,42,130,478,0,0,0,.,0,0,0,0,0,0,2442,2268,2347,96.11%,525,1784,654,4,253,213,6381,6303,5068,79.42%,892,2710,3671,0,1228,243,2132,12639,12613,10470,82.84%,1763,5251,7374,14,260,348
MO,5375,3880,2768,51.50%,3429,1900,46,785,2323,2959,93,351,502,3429,2209,1553,45.29%,344,600,484,1511,1866,52,92,140,1900,1625,1169,61.53%,301,812,1047,41,239,362,46,46,46,100.00%,0,0,46,0,20,0,1719,1215,1372,79.81%,424,1256,463,0,234,53,5986,5969,4902,81.89%,709,2244,3741,1,1555,41,3351,1647,1647,224,13.60%,277,911,736,0,66,9
MP,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
MS,765,541,502,65.62%,564,201,0,95,284,462,19,12,38,564,382,343,60.82%,51,0,57,198,355,11,0,11,201,159,159,79.10%,38,86,107,8,12,27,0,0,0,.,0,0,0,0,0,0,948,916,916,96.62%,143,486,462,0,167,51,612,612,612,100.00%,70,199,401,12,149,12,251,126,126,126,100.00%,24,92,34,0,1,5
MT,2102,1762,1086,51.67%,1426,676,0,366,850,1235,17,70,86,1426,1174,837,58.70%,0,0,213,486,940,0,15,0,676,588,249,36.83%,153,364,295,17,55,86,0,0,0,.,0,0,0,0,0,0,315,226,226,71.75%,71,191,124,0,138,2,708,708,619,87.43%,37,108,600,0,400,3,126,26,26,0,0.00%,0,0,26,0,0,0
NC,8368,7219,6041,72.19%,6539,1803,26,969,3324,4972,72,479,205,6539,5432,4671,71.43%,203,418,706,2548,3940,51,119,106,1803,1761,1344,74.54%,263,776,1006,21,334,99,26,26,26,100.00%,0,0,26,0,26,0,2703,2500,2390,88.42%,568,1778,925,0,658,57,8025,8017,4719,58.80%,571,1735,6259,31,2527,34,3410,2943,2943,1070,36.36%,494,1667,1276,0,73,10
ND,917,566,508,55.40%,757,160,0,104,335,562,20,12,59,757,510,486,64.20%,0,16,64,240,507,10,0,20,160,56,22,13.75%,40,95,55,10,12,39,0,0,0,.,0,0,0,0,0,0,51,28,28,54.90%,11,31,20,0,25,0,544,512,264,48.53%,42,143,401,0,248,33,276,103,103,23,22.33%,19,69,34,0,0,0
NE,3034,2601,2510,82.73%,2231,793,10,302,1133,1872,29,112,156,2231,1946,1855,83.15%,0,140,169,687,1532,12,57,21,793,645,645,81.34%,133,446,330,17,45,135,10,10,10,100.00%,0,0,10,0,10,0,887,736,797,89.85%,181,587,300,0,241,62,1295,1295,1295,100.00%,122,278,1017,0,547,94,1011,677,677,582,85.97%,105,338,339,0,20,0
NH,2175,1864,1651,75.91%,1357,813,5,427,1250,923,2,141,161,1357,1222,1024,75.46%,170,51,238,647,708,2,8,22,813,637,622,76.51%,189,603,210,0,133,139,5,5,5,100.00%,0,0,5,0,0,0,227,194,194,85.46%,44,113,114,0,75,21,840,840,738,87.86%,103,311,529,0,244,0,196,502,502,198,39.44%,67,212,290,0,0,5
