total_population,total_homeless,homeless_rate,fnd_per_person,pop_AIAN,pop_asian,pop_black,pop_multi,pop_NHPI,pop_white,pop_under_18,pop_18_to_24,pop_25_to_34,pop_35_to_44,pop_45_to_54,pop_55_to_64,pop_over_64,pop_female,pop_male,pop_hisp_latx,pop_non_hisp_latx,disadvantaged_county,persistent_poverty_county,percent_rural,percent_urban,percent_poc,poverty_rate,pop_density,med_hh_income,employment_access_index,housing_cost_burden,overcrowded_housing,vacancy_rate,housing_units,airports_primary,highway_miles,funding_tot,fnd_per_impov,fnd_per_hmls
494272,299,6.049300789848504e-4,67.82746949048297,0.00307678468844744,0.01814587434861095,0.1954872461652632,0.06520125851737821,4.865612995684324e-4,0.7176022749807318,0.23169427098017809,0.08430063406938171,0.12765370333711257,0.12576809177309475,0.12311263879640794,0.13516815535999585,0.17230250568382913,0.5087851902508084,0.4912148097491917,0.060069625657114635,0.9399303743428854,0.8333333333333334,0,0.9349892818012914,0.4265189018631259,0.29785624092098273,0.16477309769221402,5.443342388467328e-5,50879.33249101709,4330.911071232034,0.4876334059005608,0.0011731017995966412,0.14922656540134382,0.45463226711440863,2.0231776348043183e-6,0.2247038594062423,33525219,411.64164806308673,18687.41304347826
1061705,2008,0.0018912974884737286,79.65571792541243,0.05780979050958687,0.008424869165821615,0.005510012833795478,0.060521284771936766,4.4428199906746584e-4,0.8672897607197918,0.2126033416827139,0.09030633298101844,0.1287282638597304,0.1278106765893987,0.11006703635600214,0.13351528226215126,0.1969690662689852,0.49321401682424315,0.5067859831757568,0.04390573645880087,0.9560942635411991,0.42857142857142855,0.05357142857142857,0.99799224790214,0.20369996218480413,0.14403530163993766,0.12788952487179772,2.816394015978872e-6,57258.56873802045,6270.988103098318,0.43922558566274245,0.0010139604913273865,0.1532325091904647,0.48502738529177036,1.130257482895908e-5,0.054457258540421716,84570874,622.8478681523209,752.088734348321
378499,627,0.0016565433462175593,156.96486912779162,0.004197692092426046,0.025161460248130242,0.27049598612841097,0.08194553425920337,7.736922680157811e-4,0.6174256350038136,0.22809639551119615,0.09985261415938357,0.13131819827274138,0.12119511816724414,0.1241040492320422,0.12934271086518073,0.16609091379221183,0.5243496922997363,0.47565030770026373,0.14623002534002172,0.8537699746599783,0,0,0.431665944,0.924185159,0.439076457,0.158251347,3.583305817858389e-4,53583,17876,0.467694818,0.001961179,0.10718676,0.440595616,0,0.356451054751,59411046,991.8706671595764,94754.45933014354
259576,739,0.002846950411440195,67.21613708509261,0.0021241400052633558,0.011819993232828303,0.05527275461483514,0.08101432384676116,3.571562840708297e-4,0.8494116320162413,0.18079767467530078,0.07545531476507598,0.13675263990580963,0.13910739909488945,0.1271422789653777,0.13259869752382353,0.20814599506972295,0.5167886971558924,0.48321130284410757,0.08257478200080945,0.9174252179991905,0,0,0.7412616250000001,0.776965842,0.16687213,0.114939301,1.526631199858684e-4,55032,11240,0.514017632,0.004706352,0.164413055,0.48491386,3.85244e-6,0.3097131044,17447696,584.7968144950927,23609.872801082543
317665,405,0.0012749279901783325,159.30513906159004,0.005513089912058536,0.055392337883457134,0.35583449619116403,0.0925885378710388,5.359494638871369e-4,0.49013558867839435,0.20142377923832364,0.10518966014480655,0.17973011945781028,0.14279989678359467,0.11815242634446957,0.11233284254944521,0.14037127548155007,0.5199860354275132,0.48001396457248674,0.15272081480244684,0.8472791851975532,0,0,0.4917546830000001,0.948869111,0.573909622,0.135030831,4.2654665347929675e-4,62812,26017,0.47945106899999995,0.002551334,0.065165698,0.438194324,0,0.42771368595,50605667,1179.7686341839226,124952.26419753087
5182234,4180,8.066019403986774e-4,92.56307974514466,0.01803076673348449,0.016406326277484003,0.19053384746492064,0.06768629133775063,6.137355420580612e-4,0.7067290326443022,0.22046403105454526,0.09010136369859573,0.12135590581317801,0.11959083289582023,0.12710154893058248,0.1356559685926319,0.18573034901464636,0.5060884948693041,0.4939115051306959,0.10268218217853525,0.8973178178214647,0.5822784810126582,0.06329113924050633,0.9469141635438452,0.3228970211238908,0.3345889050607209,0.15293365298317388,5.1728878916300095e-5,52751.336948891156,5269.143945834943,0.458006202121559,0.0018233256259423934,0.1600351751699756,0.4601552149299146,5.789011123638955e-7,0.2089638419903646,479683539,605.2499102687926,1452.6180697716675
532956,665,0.0012477577886354596,146.83762637065723,0.0037177218445427988,0.05389832980818321,0.354481035204158,0.07579584582490433,1.2667508608147894e-4,0.5119803922321302,0.2215983071417916,0.11660131826360484,0.1339203332676473,0.12287402829165339,0.1256457336915985,0.12312633635796069,0.15623394298574367,0.5252501441102642,0.47474985588973584,0.09795446299819333,0.9020455370018067,0,0,0.634906923,0.85843314,0.503717005,0.152779862,3.185567419794566e-4,54794,18760,0.487420638,0.004562175,0.094890574,0.431677287,1.8763300000000001e-6,0.434623486176,78257994,961.105897390176,117681.1939849624
1095170,2095,0.001912945022233991,66.5147036533141,0.004176496537967278,0.06672708441222165,0.33044574870053894,0.09337706427297313,4.162111360454188e-4,0.5048573949402536,0.23066727031247514,0.09120651937473141,0.1709991811874727,0.14744726794269372,0.13151314079154236,0.11119757079721922,0.11696904959386545,0.5167396759766064,0.48326032402339364,0.15437180455316357,0.8456281954468364,0,0,0.11282812700000001,0.9915561169999999,0.537340322,0.108956439,8.075683020965119e-4,69240,37348,0.454289757,0.001324802,0.073862714,0.4160103,9.131e-7,0.7583942733,72844908,610.4706088395023,34770.839140811455
430642,593,0.0013770138537346566,64.18496802448438,0.0028286146612604515,0.01070496513650066,0.10757913414269679,0.061575317160183836,2.8945058513730077e-4,0.817022518314221,0.17565107654036288,0.09101453091166604,0.11382774446295549,0.11814253094798197,0.1177544044414383,0.14935834290409417,0.23425136979150116,0.5172500669574968,0.48274993304250324,0.07062086622573074,0.9293791337742693,0,0,0.8719918796066115,0.5588871649234509,0.21799313593991992,0.13419196710619724,8.688864826766238e-5,58151.26732877889,8518.173366740819,0.5197309488345819,2.1348982180463246e-4,0.23263675982202345,0.5453810822641568,2.322111772098402e-6,0.20018666078741923,27640743,478.307080584708,15537.236087689713
1091662,992,9.087061746218152e-4,86.17780869902955,0.0030353100124151026,0.08507357774045132,0.2026445994303659,0.08488461257576864,3.4963119842255165e-4,0.6240122690425765,0.23393648529246946,0.08726082941141207,0.14619781426557046,0.1506460853042852,0.14082687450749734,0.11597737289630229,0.12515453832246315,0.5102748979373749,0.48972510206262504,0.11390354028508899,0.886096459714911,0,0,0.383317907,0.948426169,0.407082962,0.085219075,5.050170212157907e-4,83567,27977,0.43428831,0.001156979,0.070560536,0.404630737,9.16034e-7,0.48765524035799995,94077039,1011.2502241901775,94835.72479838709
404464,466,0.001152142094228411,66.89678438624945,0.002705597341732314,0.013547504092551434,0.1570124740479786,0.06454642819676451,4.3182211856322776e-4,0.7617561742024099,0.22122962745311767,0.07909216281924296,0.1288108925296317,0.12081352751330525,0.13641016648736773,0.1390048671371092,0.1746387560602255,0.5132649627737469,0.48673503722625316,0.07821778424412461,0.9217822157558754,0.3333333333333333,0,0.8258911094320358,0.48557192621213496,0.25523161537845646,0.1465701381941582,1.399514812742886e-4,52345.408852209344,8556.786107045373,0.4679278351173429,0.0014295270114764148,0.1105780817105213,0.4308566396638539,0,0.3484829240158502,27057341,456.4148278118751,19354.321173104436
